seq,taxID_kaiju,taxID_kraken2,length,true,taxID_SAMOVAR,taxID_SAMOVAR_confidence,sample
Hsap.fna|taxid:9606|-NC_000001.11_0_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_0_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_0_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_0_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_0_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_0_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_0_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1000_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1001_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1002_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1003_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1004_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1005_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1005_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1005_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1005_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1005_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
